word,machine,human,label
balk,balk,shakku a kan wani abu,NEGATIVE
suitable,dace,dace,POSITIVE
glitz,glitz,mai ado,POSITIVE
reassure,sake tabbatarwa,sake tabbatarwa,POSITIVE
respectfully,cikin girmamawa,cikin girmamawa,POSITIVE
hostility,ƙiyayya,ƙiyayya,NEGATIVE
irresolvable,wanda ba a iya warware shi,wanda ba a iya warware shi,NEGATIVE
ardor,son kai,son kai,POSITIVE
obtuse,rashin kulawa,rashin kulawa,NEGATIVE
uncollectible,ba a karba,ba a karba,NEGATIVE
conducive,mai kyau,mai kyau,POSITIVE
suffocation,shaƙewa,shaƙewa,NEGATIVE
shroud,shroud,abu a dukunkune,NEGATIVE
hysterical,hysterical,na ciwon iska,NEGATIVE
stray,bata,bata,NEGATIVE
recoil,koma baya,koma baya,NEGATIVE
distorting,gurbata,gurbata,NEGATIVE
monumental,abin tunawa,abin tunawa,POSITIVE
pistol,bindiga,bindiga,NEGATIVE
throbs,jefa,yana rawar jiki,NEGATIVE
carcinoma,ciwon daji,ciwon daji,NEGATIVE
needle,allura,allura,POSITIVE
fair,gaskiya,gaskiya,POSITIVE
overzelous,wuce gona da iri,wuce gona da iri,NEGATIVE
pity,tausayi,tausayi,NEGATIVE
shamelessness,rashin kunya,rashin kunya,NEGATIVE
dream,mafarki,mafarki,POSITIVE
ruts,ruts,ya zama jiki,NEGATIVE
sanctification,,abinda yake daukaka mutum,POSITIVE
deceitfully,yaudara,yaudara,NEGATIVE
looms,looms,ya bayyana,NEGATIVE
hedonism,hedonism,kara walwala,NEGATIVE
wonder,yi mamaki,yi mamaki,POSITIVE
prefers,ya fi so,ya fi so,POSITIVE
unbeaten,rashin nasara,rashin nasara,POSITIVE
undermine,lalata,lalata,NEGATIVE
sloow,maras kyau,maras kyau,NEGATIVE
mumpish,mumpish,mara  surutu,NEGATIVE
expeditiously,hanzarta,hanzarta,POSITIVE
scrambles,takaddama,yana takaddama,NEGATIVE
retrenchment,retrenchment,tattali,NEGATIVE
eligible,m,wanda ya cancanta,POSITIVE
lethal,na mutuwa,na mutuwa,NEGATIVE
irrational,m,mara kan gado,NEGATIVE
corpse,gawa,gawa,NEGATIVE
liberate,yantu,yantu,POSITIVE
ribbon,kintinkiri,kunzugun gashi,POSITIVE
coward,matsoraci,matsoraci,NEGATIVE
ruins,kango,yana  lalata,NEGATIVE
raped,fyade,fyade,NEGATIVE
disquietude,rashin damuwa,rashin damuwa,NEGATIVE
protracted,tsawaita,tsawaita,NEGATIVE
febrile,febrile,alamar zazzabi,NEGATIVE
foresee,hango,hango,POSITIVE
whores,karuwai,karuwai,NEGATIVE
lavish,lavish,mai yalwa,POSITIVE
ineffable,wanda ba zai yiwu ba,wanda ba zai yiwu ba,POSITIVE
beauties,kawata,ya kawata,POSITIVE
traitorous,mayaudari,mayaudari,NEGATIVE
unlovable,wanda ba a iya kaunarsa,wanda ba a iya kaunarsa,NEGATIVE
stint,,kawo abu kadan,NEGATIVE
fascinate,sha'awa,sha'awa,POSITIVE
isolated,ware,ware,NEGATIVE
collide,yi karo,yi karo,NEGATIVE
endorsing,yarda,yarda,POSITIVE
fascinatingly,mai ban sha'awa,mai ban sha'awa,POSITIVE
swiftly,da sauri,da sauri,POSITIVE
prophet,annabi,annabi,POSITIVE
indignity,rashin mutunci,rashin mutunci,NEGATIVE
noncompliance,rashin biyayya,rashin biyayya,NEGATIVE
easiness,sauƙaƙewa,sauƙaƙewa,POSITIVE
revolutionizes,canzawa,canzawa,POSITIVE
demands,nema,yana nema,NEGATIVE
vegetative,ciyayi,ganyayyaki,NEGATIVE
believing,imani,imani,POSITIVE
untamed,maras sani,maras sani,NEGATIVE
perversity,karkatarwa,karkatarwa,NEGATIVE
chastisement,azaba,azaba,NEGATIVE
thoroughbred,zuriya,zuriya,POSITIVE
array,tsararru,tsararru,POSITIVE
renounce,barranta,barranta,NEGATIVE
rejoicingly,farin ciki,farin ciki,POSITIVE
procession,jerin gwano,jerin gwano,POSITIVE
excess,wuce haddi,wuce haddi,NEGATIVE
saggy,saggy,mai faduwa,NEGATIVE
booze,barasa,barasa,NEGATIVE
untrained,marasa tarbiyya,marasa tarbiyya,NEGATIVE
forte,karfi,karfi,POSITIVE
messing,rikici,rikici,NEGATIVE
sullen,sullen,mara sakin fuska,NEGATIVE
bias,son zuciya,son zuciya,NEGATIVE
dogged,kare,kare,NEGATIVE
discredit,zubar da mutunci,zubar da mutunci,NEGATIVE
ripped,yage,yage,NEGATIVE
undisputably,ba gardama,rashin gardama,POSITIVE
gripes,kamewa,ya kame,NEGATIVE
desultory,zalinci,zalinci,NEGATIVE
heartless,mara zuciya,mara zuciya,NEGATIVE
delight,ni'ima,murna,POSITIVE
dead-on,mutu-kan,daiadai-wa-daida,POSITIVE
disengagement,rabuwar kai,rabuwar kai,NEGATIVE
inarticulate,inarticulate,kasa bayyana ra'ayi,NEGATIVE
misinterpret,rashin fahimta,rashin fahimta,NEGATIVE
enemies,makiya,makiya,NEGATIVE
wrongly,ba daidai ba,ba daidai ba,NEGATIVE
succulent,mai nasara,mai nasara,POSITIVE
asinininity,asinininanci,iskanci,NEGATIVE
hidden,boye,boye,NEGATIVE
wilt,so,so,NEGATIVE
convict,mai laifi,mai laifi,NEGATIVE
calm,kwantar da hankula,kwantar da hankula,POSITIVE
conjuring,conjuring,rufa-ido ko,NEGATIVE
passionately,cikin sha'awa,cikin sha'awa,POSITIVE
bullyingly,zalunci,zalunci,NEGATIVE
bid-rigging,ƙulla-magudi,ƙulla-magudi,NEGATIVE
gratefully,godiya,godiya,POSITIVE
innocuous,mara laifi,mara laifi,POSITIVE
run-down,run-down,sauka,NEGATIVE
rants,rantsuwa,rantsuwa,NEGATIVE
female,mace,mace,POSITIVE
ambiguous,shubuha,shubuha,NEGATIVE
itchy,ƙaiƙayi,ƙaiƙayi,NEGATIVE
weariness,kasala,kasala,NEGATIVE
shun,guji,sharewa,NEGATIVE
distressing,damuwa,damuwa,NEGATIVE
shunned,nisanta,nisanta,NEGATIVE
inpressed,shigarwa,jin iyawa,POSITIVE
injure,rauni,rauni,NEGATIVE
desecration,wulakanci,wulakanci,NEGATIVE
astute,mai hankali,mai hankali,POSITIVE
defy,cin amana,cin amana,NEGATIVE
hated,ƙi,ƙi,NEGATIVE
cruelest,mafi tsananin zalunci,mafi tsananin zalunci,NEGATIVE
rectification,gyara,gyara,POSITIVE
glowingly,da annashuwa,da annashuwa,POSITIVE
remarkable,na ƙwarai,na ƙwarai,POSITIVE
incompetence,rashin iya aiki,rashin iya aiki,NEGATIVE
starving,yunwa,yunwa,NEGATIVE
extremists,masu tsattsauran ra'ayi,masu tsattsauran ra'ayi,NEGATIVE
vex,damuwa,damuwa,NEGATIVE
skimpy,skimpy,gajere,NEGATIVE
unassuming,rashin girman kai,rashin girman kai,POSITIVE
explorations,bincike,bincike,POSITIVE
glisten,annuri,annuri,POSITIVE
relief,taimako,sauki,POSITIVE
dishonorablely,rashin mutunci,rashin mutunci,NEGATIVE
incompliant,mara amfani,mara amfani,NEGATIVE
axe,gatari,gatari,NEGATIVE
deadweight,mai nauyi,mai nauyi,NEGATIVE
burns,konewa,ya kone,NEGATIVE
floundering,yawo,yawo,NEGATIVE
god-send,allah-aika,daga Allah,POSITIVE
compulsion,tilas,tilas,NEGATIVE
grimace,yamutsi,yamutsi,NEGATIVE
commute,tafiya,tafiya,POSITIVE
homage,girmamawa,girmamawa,POSITIVE
outperforming,sama da cikawa,wuce kima,POSITIVE
tarnish,shafawa,disaahewa,NEGATIVE
sillily,sillily,wauta,NEGATIVE
symmetrical,mai daidaitawa,mai daidaitawa,POSITIVE
autocrat,mai mulkin kai,mai mulkin kai,NEGATIVE
fond,m,sabawa,POSITIVE
hung,rataye,rataye,NEGATIVE
wedge,wedge,takurewa,NEGATIVE
sinking,nutsuwa,nutsuwa,NEGATIVE
ardently,tsawaitawa,tsawaitawa,POSITIVE
irritated,fusata,fusata,NEGATIVE
imprecate,imprecate,tsinuwa,NEGATIVE
limp,yi ɗingishi,yi ɗingishi,NEGATIVE
endangered,cikin haɗari,cikin haɗari,NEGATIVE
cries,kuka,yana kuka,NEGATIVE
shitty,shitty,banzanta,NEGATIVE
shanghai,shanghai,fashin jirgin ruwa,NEGATIVE
conspiratorial,makirci,makirci,NEGATIVE
jargon,jargon,kalmomin hira,NEGATIVE
contagions,yaduwa,yana yadawa,NEGATIVE
glum,glum,gazawa,NEGATIVE
corruption,rashawa,rashawa,NEGATIVE
metropolitan,babban birni,babban birni,POSITIVE
burke,burki,mutumin banza,NEGATIVE
perversely,karkace,karkace,NEGATIVE
apt,dace,dace,POSITIVE
bonanza,bonanza,garabasa,POSITIVE
redundancy,sakewa,maimaita,NEGATIVE
arsenic,arsenic,sinadarin guba mai toka-toka,NEGATIVE
contaminating,gurɓata,gurɓata,NEGATIVE
bulkyness,yawanci,yawanci,NEGATIVE
incorrectly,ba daidai ba,ba daidai ba,NEGATIVE
dominated,mamaye,mamaye,POSITIVE
slashes,yanka,yana yankewa,NEGATIVE
regrets,nadama,yana nadama,NEGATIVE
humanity,bil'adama,bil'adama,POSITIVE
hissing,kuwwa,tsaki,NEGATIVE
latent,latent,abinda bai bunkasa ba,NEGATIVE
flakieness,flakieness,kankanta,NEGATIVE
mediocrity,matsakaici,matsakaici,NEGATIVE
ordained,kaddara,kaddara,POSITIVE
hooliganism,hooliganism,iskanci,NEGATIVE
guidebook,littafin jagora,littafin jagora,POSITIVE
elated,murna,murna,POSITIVE
soapy,sabulu,sabulu,NEGATIVE
amicable,sasantawa,sasantawa,POSITIVE
perverted,karkace,karkace,NEGATIVE
tard,tard,latti,NEGATIVE
pet,dabbar gida,dabbar gida,NEGATIVE
fatally,fatally,mummuna,NEGATIVE
disquiet,tashin hankali,tashin hankali,NEGATIVE
senselessly,wauta,wauta,NEGATIVE
reprehensive,m,tunani,NEGATIVE
sly,wawa,wawa,NEGATIVE
avert,kau da kai,kau da kai,NEGATIVE
passionate,m,mai shauki,POSITIVE
stupidest,wawa,wawa,NEGATIVE
august,august,mai martaba,POSITIVE
infirmity,rashin lafiya,rashin lafiya,NEGATIVE
stupendously,stupendously,abinda ya gagara,POSITIVE
envious,hassada,yana hassada,POSITIVE
expands,fadada,yana fadadawa,POSITIVE
pornography,labarin batsa,labarin batsa,NEGATIVE
laughed,dariya,dariya,POSITIVE
fearsome,abin tsoro,abin tsoro,NEGATIVE
vitality,mahimmanci,mahimmanci,POSITIVE
dependent,dogara,dogara,NEGATIVE
tolerant,mai haƙuri,mai haƙuri,POSITIVE
secured,kulla,samu,POSITIVE
lyrical,waƙa,waƙa,POSITIVE
deliberate,da gangan,da gangan,POSITIVE
worthy,cancanta,cancanta,POSITIVE
miff,musifa,musifa,NEGATIVE
painless,m,mara ciwo,POSITIVE
villains,mugaye,mugaye,NEGATIVE
irreparable,wanda ba a iya gyarawa,wanda ba a iya gyarawa,NEGATIVE
vision,hangen nesa,hangen nesa,POSITIVE
gaining,samun,samun,POSITIVE
gasping,huci,huci,NEGATIVE
inessential,mara muhimmanci,mara muhimmanci,NEGATIVE
ashamed,kunya,kunya,NEGATIVE
commotions,rikice-rikice,rikice-rikice,NEGATIVE
chances,damar,damammaki,POSITIVE
wondrous,banmamaki,banmamaki,POSITIVE
apologist,mai uzuri,mai uzuri,NEGATIVE
lighthearted,mai sauƙin zuciya,mai sauƙin zuciya,POSITIVE
reformer,mai kawo gyara,mai kawo gyara,POSITIVE
score,Ci,Ci,POSITIVE
simplifies,simplifies,ya saukaka,POSITIVE
support,tallafi,tallafi,POSITIVE
dissuade,ba da izini ba,ba da izini ba,NEGATIVE
asserting,tabbatarwa,tabbatarwa,POSITIVE
cherishing,ƙaunar,ƙaunar,POSITIVE
dust,kura,kura,NEGATIVE
simplistic,mai sauƙin fahimta,mai sauƙin fahimta,NEGATIVE
toughest,mafi wuya,mafi wuya matuka,POSITIVE
cost-effective,mai tsada,mai tsada,POSITIVE
retention,riƙewa,riƙewa,POSITIVE
crashed,fadi,fadi,NEGATIVE
postponed,jinkirta,jinkirta,NEGATIVE
recreational,na nishaɗi,na nishaɗi,POSITIVE
haven,mafaka,mafaka,POSITIVE
disconnect,cire haɗin,katsewa,NEGATIVE
slowwww,a hankaliwww,a hankaliwww,NEGATIVE
wonderfully,abin al'ajabi,abin al'ajabi,POSITIVE
cheers,murna,yana murna,POSITIVE
absolution,warwarewa,warwarewa,POSITIVE
nifty,nifty,mai Jan hankali,POSITIVE
imprisonment,ɗaurin kurkuku,ɗaurin kurkuku,NEGATIVE
harmful,cutarwa,mai cutarwa,NEGATIVE
optional,na tilas,na ganin dama,POSITIVE
credence,amintacce,amintacce,POSITIVE
pill,kwaya,kwaya,POSITIVE
morbidity,cututtuka,cututtuka,NEGATIVE
unresearched,ba a bincika ba,ba a bincika ba,NEGATIVE
intricate,rikitarwa,rikitarwa,POSITIVE
roughness,kauri,kauri,NEGATIVE
inappropriately,rashin dacewa,rashin dacewa,NEGATIVE
solutions,mafita,mafita,POSITIVE
refurbish,sabuntawa,sabuntawa,POSITIVE
convienient,mai dacewa,mai dacewa,POSITIVE
pimple,pimple,tusar jaki,NEGATIVE
adversity,masifa,masifa,NEGATIVE
mediator,matsakanci,matsakanci,POSITIVE
sweetly,dadi,dadi,POSITIVE
hindrance,cikas,cikas,NEGATIVE
craftsman,mai sana'a,mai sana'a,POSITIVE
soundly,lafiya,lafiya,POSITIVE
cataract,cataract,kwantiragi,NEGATIVE
procedure,hanya,hanya,POSITIVE
dandruff,dandruff,amosanin kai,NEGATIVE
interruptions,katsewa,katsewa,NEGATIVE
commiserate,commiserate,tausayawa,NEGATIVE
payment,biya,biya,NEGATIVE
analyst,manazarci,manazarci,POSITIVE
envying,hassada,yin hassada,NEGATIVE
unthinkable,wanda ba a iya tsammani ba,wanda ba a iya tsammani ba,NEGATIVE
rut,rut,gundura,NEGATIVE
toilet,bandaki,bandaki,NEGATIVE
betterment,kyautatawa,kyautatawa,POSITIVE
sane,mai hankali,mai hankali,POSITIVE
gratitude,godiya,godiya,POSITIVE
validated,inganta,inganta,POSITIVE
black,baki,baki,NEGATIVE
devilish,na shaidan,na shaidan,NEGATIVE
irretrievable,wanda ba za a iya sakewa ba,wanda ba za a iya sakewa ba,NEGATIVE
lurking,luruwa,lamfo,NEGATIVE
badly,da kyau,da kyau,NEGATIVE
collapsed,ya fadi,ya fadi,NEGATIVE
serve,yi hidima,yi hidima,NEGATIVE
boost,bunkasa,bunkasa,POSITIVE
lawlessness,rashin bin doka,rashin bin doka,NEGATIVE
oddest,mafi munin,mafi munin,NEGATIVE
acrid,acrid,mara dadi,NEGATIVE
spoilage,lalacewa,lalacewa,NEGATIVE
smart,wayo,wayo,POSITIVE
inventor,mai ƙirƙira,mai ƙirƙira,POSITIVE
confined,tsare,boye,NEGATIVE
qualifying,cancanta,cancanta,POSITIVE
rock,dutse,dutse,POSITIVE
scrutinize,bincika,bincika,NEGATIVE
save,ajiye,ajiye,POSITIVE
averts,kau da kai,yana kau da kai,NEGATIVE
lurch,ɓata,ɓata,NEGATIVE
calumniously,karafarini,karafarini,NEGATIVE
marked,alama,alama,POSITIVE
productivity,yawan aiki,yawan aiki,POSITIVE
detracts,rage hankali,shiririta,NEGATIVE
fallaciously,cikin annashuwa,cikin wauta,NEGATIVE
prodigal,mazinaci,mai ta'adi,POSITIVE
primer,firamare,littafin koyar da yara,POSITIVE
robbery,fashi,fashi,NEGATIVE
regally,rajista,rajista,POSITIVE
umpire,alƙali,alƙali,POSITIVE
exaltation,daukaka,daukaka,POSITIVE
reputation,suna,kima,POSITIVE
survive,tsira,tsira,POSITIVE
rapture,fyaucewa,fyaucewa,POSITIVE
impersonation,kwaikwayo,kwaikwayo,NEGATIVE
profession,sana'a,sana'a,POSITIVE
blameless,mara laifi,mara laifi,POSITIVE
shortcomings,gazawa,gazawa,NEGATIVE
condescendingly,kankani,kankani,NEGATIVE
educational,ilimi,ilimi,POSITIVE
endorsement,yarda,yarda,POSITIVE
irrationality,rashin hankali,rashin hankali,NEGATIVE
wrought,aikata,dokewa,NEGATIVE
job,aiki,aiki,POSITIVE
occlude,ɓoye,ɓoye,NEGATIVE
blindness,makanta,makanta,NEGATIVE
plagiarize,sata,sata,NEGATIVE
impolitic,rashin ladabi,rashin ladabi,NEGATIVE
improbably,mai yiwuwa,mara yiwuwa,NEGATIVE
ruthlessly,rashin tausayi,rashin tausayi,NEGATIVE
paramount,mafi muhimmanci,mafi muhimmanci,POSITIVE
fatigue,gajiya,gajiya,NEGATIVE
disgraced,wulakanci,wulakanci,NEGATIVE
duplicity,kwaɗayi,kwaɗayi,NEGATIVE
inestimably,inestimably,wuyar kayyadewa,POSITIVE
anthrax,anthrax,ciwon haukan dabbobi,NEGATIVE
unsustainable,mara dorewa,mara dorewa,NEGATIVE
boycotts,kauracewa,yana kauracewa,NEGATIVE
fanciful,fanciful,mai riyawa,NEGATIVE
invalid,baya aiki,mara aiki,NEGATIVE
expenditure,kashewa,kashewa,NEGATIVE
prosperous,wadata,wadata,POSITIVE
nasty,m,shakiyyi,NEGATIVE
absorbed,nutsad da hankali,nutsad da hankali,POSITIVE
admissible,m,cancanta da girma,POSITIVE
slick,slick,santsi,POSITIVE
reach,isa,isa,POSITIVE
comfort,ta'aziyya,ta'aziyya,POSITIVE
exhilarating,mai kayatarwa,mai kayatarwa,POSITIVE
illogical,mara kyau,mara kyau,NEGATIVE
poorer,talauci,talaka sosai,NEGATIVE
collides,yi karo,yana  karo,NEGATIVE
cataclysm,masifa,masifa,NEGATIVE
debtor,bashi,bashi,NEGATIVE
roomy,na ɗaki,na ɗaki,POSITIVE
radicals,masu tsattsauran ra'ayi,masu tsattsauran ra'ayi,NEGATIVE
humbled,kaskantar da kai,kaskantar da kai,POSITIVE
poisonous,mai guba,mai guba,NEGATIVE
symptom,alama,alama,NEGATIVE
stress,danniya,matsi,NEGATIVE
prudently,cikin hankali,cikin hankali,POSITIVE
syncope,syncope,karancin jini,NEGATIVE
chokes,shaƙewa,yana  shaka,NEGATIVE
pigeon,tattabara,tattabara,NEGATIVE
attenuation,attenuation,ragewa,NEGATIVE
depressing,depressing,mai tawayarwa,NEGATIVE
penalty,hukunci,hukunci,NEGATIVE
expert,gwani,gwani,POSITIVE
antidote,maganin guba,maganin guba,POSITIVE
proposition,shawara,shawara,POSITIVE
incredible,m,wuyar yarda,POSITIVE
bite,cizo,cizo,NEGATIVE
bestial,mafi kyawu,mafi kyawu,NEGATIVE
uncompromising,mara rikitarwa,mara rikitarwa,NEGATIVE
convinced,gamsu,gamsu,POSITIVE
privy,sirri,sirri,NEGATIVE
lower-priced,mai rahusa,mai rahusa,POSITIVE
tempting,mai riya,mai riya,POSITIVE
oppressiveness,zalunci,zalunci,NEGATIVE
averse,ƙi,ƙi,NEGATIVE
amicability,amicability,abota,POSITIVE
leisurely,cikin nishaɗi,cikin nishaɗi,POSITIVE
innocent,marar laifi,marar laifi,POSITIVE
dont like,kar a so,ba a so,NEGATIVE
maniac,mahaukaci,mahaukaci,NEGATIVE
chide,chide,yin fada,NEGATIVE
inopportune,rashin dacewar aiki,rashin dacewar aiki,NEGATIVE
reproach,zargi,zargi,NEGATIVE
retractable,retractable,sake yiwuwa,POSITIVE
dependence,dogaro,dogaro,NEGATIVE
designer,zanen,mai zanawa,POSITIVE
boycotting,kauracewa,kauracewa,NEGATIVE
deniers,masu ƙaryatãwa,masu ƙaryatãwa,NEGATIVE
cornerstone,dutsen gini,muhimmin al'amari,POSITIVE
demonstrative,mai nunawa,mai nunawa,POSITIVE
scolding,tsawatarwa,tsawatarwa,NEGATIVE
abhor,ƙyama,ƙyama,NEGATIVE
slender,siriri,siriri,POSITIVE
expensive,tsada,tsada,NEGATIVE
swankier,swankier,ado mai tsada sosai,POSITIVE
vernal,harshe,harshe,POSITIVE
cave,kogo,kogo,NEGATIVE
appreciate,godiya,godiya,POSITIVE
sadness,bakin ciki,bakin ciki,NEGATIVE
ecstatically,cike da annashuwa,cike da annashuwa,POSITIVE
pretence,riya,riya,NEGATIVE
uneasily,rashin kwanciyar hankali,rashin kwanciyar hankali,NEGATIVE
vote,jefa ƙuri'a,jefa ƙuri'a,POSITIVE
sufficed,isa,isa,POSITIVE
performer,mai wasan kwaikwayo,mai wasan kwaikwayo,POSITIVE
irrationals,marasa hankali,marasa hankali,NEGATIVE
reflux,reflux,ciwon ciki,NEGATIVE
guise,siffantawa,siffantawa,NEGATIVE
conversant,mai tattaunawa,mai tattaunawa,POSITIVE
charitable,sadaka,sadaka,POSITIVE
compulsory,tilas,tilas,NEGATIVE
pertinent,dacewa,dacewa,POSITIVE
stimulate,kara kuzari,kara kuzari,POSITIVE
minority,marasa rinjaye,marasa rinjaye,NEGATIVE
pose,matsayi,matsayi,NEGATIVE
recast,sake maimaitawa,sake maimaitawa,POSITIVE
wimp,wimp,mai tsoro,NEGATIVE
embarrass,abin kunya,abin kunya,NEGATIVE
fucking,cin gindi,cin gindi,NEGATIVE
loophole,madauki,madauki,NEGATIVE
judder,mai hukunci,mai hukunci,NEGATIVE
thrift,arziki,arziki,POSITIVE
creaks,creaks,yana yin rauni,NEGATIVE
excellant,ficewa,kyan gaske,POSITIVE
surety,lamuni,lamuni,POSITIVE
unexpectedly,ba zato ba tsammani,ba zato ba tsammani,NEGATIVE
samurai,samurai,sojan kasar Sin,POSITIVE
lmfao,lmfao,abin dariya matuka,POSITIVE
insolvency,rashin kunya,rashin kunya,NEGATIVE
kindred,dangi,dangi,POSITIVE
unravel,warware,rashin warwarewa,NEGATIVE
solved,warware,warware,POSITIVE
forward,gaba,gaba,POSITIVE
illumine,rashin lafiya,rashin lafiya,POSITIVE
enticed,yaudara,yaudara,POSITIVE
startling,mamaki,mamaki,NEGATIVE
drop,sauke,sauke,NEGATIVE
grim,m,tsatstsauran mutum,NEGATIVE
intolerablely,ba za a iya jurewa ba,ba za a iya jurewa ba,NEGATIVE
matters,al'amura,al'amura,POSITIVE
unable,iya,kasa,NEGATIVE
grossly,sosai,sosai,NEGATIVE
disrespectfully,rashin girmamawa,rashin girmamawa,NEGATIVE
apologizes,yi hakuri,yana afuwa,NEGATIVE
feature,sifa,sifa,POSITIVE
acrimony,acrimony,zafin rai,NEGATIVE
wearily,gajiya,gajiya,NEGATIVE
fiendish,fiendish,na abota,NEGATIVE
pertinacity,pertinacity,alfanu,NEGATIVE
problem-free,ba matsala,mara matsala,POSITIVE
including,hada da,hada da,POSITIVE
writer,marubuci,marubuci,POSITIVE
greedy,mai hadama,mai hadama,NEGATIVE
shallow,m,mara zurfi,NEGATIVE
sugar-coat,gashi-gashi,mai Jan hankali,NEGATIVE
undependable,wanda bashi da iko,wanda bashi da iko,NEGATIVE
stubborn,mai taurin kai,mai taurin kai,NEGATIVE
godsend,baiwar allah,baiwar allah,POSITIVE
highlight,nuna alama,nuna alama,POSITIVE
failing,kasawa,kasawa,NEGATIVE
magnificently,da girma,da girma,POSITIVE
misbehave,misbehave,shirme,NEGATIVE
cheer,gaisuwa,gaisuwa,POSITIVE
evergreen,har abada,har abada,POSITIVE
curl,lanƙwasa,lanƙwasa,POSITIVE
mace,mace,sandar girma,NEGATIVE
unhealthy,mara lafiya,mara lafiya,NEGATIVE
thrilling,abin birgewa,abin birgewa,POSITIVE
gruff,gruff,mara dadin magana,NEGATIVE
complicity,haɗin kai,haɗin kai,NEGATIVE
insolently,cikin izza,cikin izza,NEGATIVE
invidiously,invidiously,cikin bacin rai,NEGATIVE
fantastically,abin mamaki,abin mamaki,POSITIVE
leery,leery,mai kallon jaraba,NEGATIVE
humble,mai tawali'u,mai tawali'u,POSITIVE
sonata,sonata,kayan kida,POSITIVE
arrogant,girman kai,girman kai,NEGATIVE
subsidized,ba da tallafi,ba da tallafi,POSITIVE
socialist,ɗan gurguzu,ɗan gurguzu,NEGATIVE
unpretentious,mara ma'ana,mara ma'ana,POSITIVE
chatty,hira,hira,NEGATIVE
swipe,gogewa,gogewa,NEGATIVE
striving,ƙoƙari,ƙoƙari,POSITIVE
marvel,yi mamaki,yi mamaki,POSITIVE
quote,faɗi,faɗi,POSITIVE
evident,bayyananne,bayyananne,POSITIVE
unconditional,ba sharadi,mara sharadi,POSITIVE
overbalance,daidaitawa,daidaitawa,NEGATIVE
restrain,takura,takura,NEGATIVE
backbiting,yin gulma,yin gulma,NEGATIVE
complements,cikawa,cikawa,POSITIVE
empty,fanko,fanko,NEGATIVE
slate,zamewa,zamewa,POSITIVE
untrue,ba gaskiya bane,karya,NEGATIVE
conspirator,mayaudari,mayaudari,NEGATIVE
entrancing,entrancing,burgewa,POSITIVE
childhood,ƙuruciya,ƙuruciya,POSITIVE
revel,yi murna,yi murna,POSITIVE
don,don,sanyawa,POSITIVE
anomalous,mara kyau,mara kyau,NEGATIVE
nap,kwanta,rintsawa,POSITIVE
heroically,gwarzo,gwarzo,POSITIVE
high-quality,mai inganci,mai inganci,POSITIVE
haplessness,rashin aiki,rashin aiki,NEGATIVE
flounder,fama,fama,NEGATIVE
shady,inuwa,inuwa,NEGATIVE
encourage,karfafa,karfafa,POSITIVE
alarmingly,da firgici,cikin firgici,NEGATIVE
stammer,stammer,in'ina,NEGATIVE
chieftain,shugaba,shugaba,POSITIVE
disqualified,rashin cancanta,rashin cancanta,NEGATIVE
shrug,shrug,ko-in-kula,NEGATIVE
advocate,gabatarwa,gabatarwa,POSITIVE
low-risk,ƙananan haɗari,mai karancin hadari,POSITIVE
unmatched,wanda bai dace ba,wanda bai dace ba,POSITIVE
morons,morons,yana  izgili,NEGATIVE
interdiction,interdiction,haramtawa,NEGATIVE
gallantly,cikin annashuwa,cikin annashuwa,POSITIVE
paupers,barayin,talakwa,NEGATIVE
self-humiliation,kaskantar da kai,kaskantar da kai,NEGATIVE
glowing,haske,haske,POSITIVE
ferocity,rashin ƙarfi,rashin ƙarfi,NEGATIVE
multi-purpose,Multi-manufa,mai yawan manufofi,POSITIVE
violent,tashin hankali,tashin hankali,NEGATIVE
quibbles,kwari,ya na kwatantawa,NEGATIVE
entertain,nishadantar,nishadantar,POSITIVE
baptism,baftisma,baftisma,POSITIVE
smog,hayaki,hayaki,NEGATIVE
hard-hit,wuya-buga,bugu da karfi,NEGATIVE
miscarriage,zubar da ciki,barin ciki,NEGATIVE
dietary,na abinci,na abinci,POSITIVE
humbug,humbug,mayaudari,NEGATIVE
undesired,maras so,wanda ba a so,NEGATIVE
interment,tsoma baki,tsoma baki,NEGATIVE
fright,tsorace,tsorace,NEGATIVE
banalize,hana,hana,NEGATIVE
disheartening,karaya,karaya,NEGATIVE
offensiveness,tashin hankali,tashin hankali,NEGATIVE
faithless,mara imani,mara imani,NEGATIVE
compliment,yabo,yabo,POSITIVE
imbecile,rashin kyau,rashin kyau,NEGATIVE
aesthetics,kayan ado,kayan ado,POSITIVE
delay,jinkiri,jinkiri,NEGATIVE
uncooperative,rashin hadin kai,rashin hadin kai,NEGATIVE
humane,mutumtaka,mutumtaka,POSITIVE
anarchy,rashin zaman lafiya,rashin zaman lafiya,NEGATIVE
stole,sata,sata,NEGATIVE
empathy,tausayawa,tausayawa,POSITIVE
measly,gwargwado,gwargwado,NEGATIVE
glower,haske,haske,NEGATIVE
devastate,lalace,lalatawa,NEGATIVE
incapable,m,rashin iyawa,NEGATIVE
rash,kurji,kurji,NEGATIVE
crucifixion,giciye,giciye,NEGATIVE
abnormal,mahaukaci,mahaukaci,NEGATIVE
weight,nauyi,nauyi,POSITIVE
subject,batun,batun,NEGATIVE
pastor,fasto,fasto,POSITIVE
unattainable,wanda ba a iya kaiwa gare shi,wanda ba a iya kaiwa gare shi,NEGATIVE
sumptuous,sumptuous,mai kima,POSITIVE
