words,sentiment
sunkashe,NEGATIVE
qarfin,POSITIVE
laifin,NEGATIVE
qaryace,NEGATIVE
tagado,POSITIVE
tabbataciyar,POSITIVE
barawone,NEGATIVE
allahu akhbar,POSITIVE
kwashemu,NEGATIVE
masoyan,POSITIVE
gyaran,POSITIVE
hatsari,NEGATIVE
ragargazar,NEGATIVE
tsareki,POSITIVE
kwala,NEGATIVE
masoya,POSITIVE
anci,POSITIVE
muntara,POSITIVE
muradin,POSITIVE
huddubar,POSITIVE
dadinka,POSITIVE
runtsi,NEGATIVE
barna,NEGATIVE
fasaha,POSITIVE
laananne,NEGATIVE
laance,NEGATIVE
masoyanmu,POSITIVE
ƙaiƙayin,NEGATIVE
sakayyarmu,POSITIVE
mudafe,POSITIVE
korarmu,NEGATIVE
shegun,NEGATIVE
kahuta,POSITIVE
kacakaca,NEGATIVE
gareka,POSITIVE
fyade,NEGATIVE
saiyafi,POSITIVE
taimaki,POSITIVE
kukansu,NEGATIVE
shanawa,POSITIVE
tsiyace,NEGATIVE
yadawo,POSITIVE
rahin,NEGATIVE
matsalanan,NEGATIVE
lalatattu,NEGATIVE
yinki️,POSITIVE
fashimta,POSITIVE
rikita,NEGATIVE
tuba,POSITIVE
abin kunya,NEGATIVE
yawon tsiya‍️,NEGATIVE
karyawa,NEGATIVE
yapi,POSITIVE
kayafe,POSITIVE
damuwa,NEGATIVE
nadaki,POSITIVE
kurakuransa,NEGATIVE
rauninsa,NEGATIVE
amanar,POSITIVE
haska,POSITIVE
rayaku,POSITIVE
mafuta,POSITIVE
danja,NEGATIVE
asaa,POSITIVE
agaishe,POSITIVE
habaici,NEGATIVE
bakin ciki,NEGATIVE
banza,NEGATIVE
ragawa,POSITIVE
insha allahu,POSITIVE
baqi,NEGATIVE
haye,POSITIVE
azzaluman,NEGATIVE
sauqi,POSITIVE
inason,POSITIVE
kareki,POSITIVE
megida,POSITIVE
kyawawan,POSITIVE
mijin tace,NEGATIVE
ubanku,NEGATIVE
qananan,NEGATIVE
alkawarin,POSITIVE
kakawo,POSITIVE
agaza,POSITIVE
godia,POSITIVE
jakuna,NEGATIVE
munfii,POSITIVE
lalata,NEGATIVE
aminan,POSITIVE
lafiyayye,POSITIVE
yajin aiki,NEGATIVE
hamdallah,POSITIVE
tajanyo,NEGATIVE
maganinmu,POSITIVE
mitsiyaci,NEGATIVE
almubazzaranci,NEGATIVE
kalubalanci,NEGATIVE
barkanmu,POSITIVE
tallafa,POSITIVE
sharrin,NEGATIVE
ciwo,NEGATIVE
banso,NEGATIVE
maamalla,POSITIVE
qamari,NEGATIVE
sahun,POSITIVE
kashekashen,NEGATIVE
fituna,NEGATIVE
gafartamawa,POSITIVE
zagi,NEGATIVE
yanka,NEGATIVE
shahararren,POSITIVE
bakawa,NEGATIVE
wuta bal bal,NEGATIVE
yaban,POSITIVE
kyawunki,POSITIVE
konashi,NEGATIVE
karya,NEGATIVE
citta,POSITIVE
fatan,POSITIVE
jindadinku,POSITIVE
haukan,NEGATIVE
qoqari,POSITIVE
dana sani,NEGATIVE
roko,POSITIVE
yafika,POSITIVE
mashallah,POSITIVE
girmanka,POSITIVE
yan iska,NEGATIVE
rangaza,NEGATIVE
saan,POSITIVE
tafawa,POSITIVE
matsalarku,NEGATIVE
gazawa,NEGATIVE
kyuata,POSITIVE
karyane,NEGATIVE
soyayyarka,POSITIVE
kuturu,NEGATIVE
alkhari,POSITIVE
kawayen,POSITIVE
shaidanin,NEGATIVE
yakare,POSITIVE
mayawacin,NEGATIVE
zigata,NEGATIVE
mahaukaciyar,NEGATIVE
tirrrr,NEGATIVE
kafirta,NEGATIVE
makurar,POSITIVE
yana ruwa,NEGATIVE
raunin,NEGATIVE
bayahudiya,NEGATIVE
shaye shaye,NEGATIVE
barayine,NEGATIVE
mahaukacin,NEGATIVE
jinkan,POSITIVE
kaico,NEGATIVE
raina,NEGATIVE
dauresu,NEGATIVE
sherin,NEGATIVE
hikimarsu,POSITIVE
sonmu,POSITIVE
kawowa,POSITIVE
masoyanta,POSITIVE
alhéri,POSITIVE
tsoro,NEGATIVE
dai dai,POSITIVE
taimakonki,POSITIVE
zalincinku,NEGATIVE
kakeyi,POSITIVE
hada kai,POSITIVE
kyau️,POSITIVE
soyayyan,POSITIVE
amfaneta,POSITIVE
albarkashi,POSITIVE
anfanin,POSITIVE
fahimci,POSITIVE
dayaga,POSITIVE
in sha allah,POSITIVE
kamani,NEGATIVE
maauratan,POSITIVE
ma shaa allah,POSITIVE
al barka,POSITIVE
kirki,POSITIVE
laifi,NEGATIVE
dabaru,POSITIVE
daidai,POSITIVE
wulakancin,NEGATIVE
sata,NEGATIVE
baragurbin,NEGATIVE
gayama,POSITIVE
kewarki,POSITIVE
zaftaran,NEGATIVE
cin uwar,NEGATIVE
gardi,NEGATIVE
maikyau,POSITIVE
karasamu,NEGATIVE
yaci,POSITIVE
bayin,NEGATIVE
ybshi,POSITIVE
dan giya,NEGATIVE
tsani,NEGATIVE
yan duniya,NEGATIVE
ganar,POSITIVE
mugunnan,NEGATIVE
bin bayansa,POSITIVE
solobiyo,NEGATIVE
juyin mulki,NEGATIVE
shisshigi,NEGATIVE
yabaku,POSITIVE
jinkiri,NEGATIVE
rungumi,POSITIVE
andainashi,POSITIVE
hanawa,NEGATIVE
dagaske,POSITIVE
hadarinsa,NEGATIVE
aamen,POSITIVE
jarumar,POSITIVE
sameki,POSITIVE
ƙarhinmu,POSITIVE
uwar wa,NEGATIVE
dai dai ne,POSITIVE
iskanci,NEGATIVE
hallaka,NEGATIVE
giya,NEGATIVE
hanata,NEGATIVE
tunawa,POSITIVE
bige,NEGATIVE
rigima,NEGATIVE
fitsarraru,NEGATIVE
zakayi,POSITIVE
yadubeni,POSITIVE
arxiki,POSITIVE
sako,POSITIVE
zafi,NEGATIVE
allah ya isar,NEGATIVE
kosa,NEGATIVE
mayar,POSITIVE
wawiya,NEGATIVE
lafy,POSITIVE
sungode,POSITIVE
nasara,POSITIVE
sunfi,POSITIVE
ishemu,NEGATIVE
uban ka,NEGATIVE
zafine,NEGATIVE
taasa,NEGATIVE
tsinewa,NEGATIVE
zamufito,POSITIVE
yayaye,POSITIVE
cima zaune,NEGATIVE
fitinanen,NEGATIVE
alkhairee,POSITIVE
kinchi,POSITIVE
barkono,NEGATIVE
amiin️️️,POSITIVE
gasky,POSITIVE
yakaramai,POSITIVE
fidda,POSITIVE
aljan,NEGATIVE
yataimake,POSITIVE
dariyarki,POSITIVE
bakin jini,NEGATIVE
gazaaa,NEGATIVE
zuqi ta malle,NEGATIVE
hankuri,POSITIVE
fada,NEGATIVE
kuluwaa,POSITIVE
oyoyo,POSITIVE
shaidan,NEGATIVE
ilimin,POSITIVE
taaddanci,NEGATIVE
yakarbi,POSITIVE
dagule,NEGATIVE
qarin,POSITIVE
mun ci,POSITIVE
kina ruwa,NEGATIVE
dumama,NEGATIVE
kiyayemu,POSITIVE
musanshi,POSITIVE
fitintinun,NEGATIVE
dazakiyi,POSITIVE
yacigaba,POSITIVE
xunuban,NEGATIVE
jagoranci,POSITIVE
alkharin,POSITIVE
hore,POSITIVE
sundawo,POSITIVE
kirkin,POSITIVE
munafukaine,NEGATIVE
saar,POSITIVE
horo,NEGATIVE
girmankai,NEGATIVE
jifar,NEGATIVE
saukemana,POSITIVE
ma sharranta,NEGATIVE
kishin kasa,POSITIVE
makiya,NEGATIVE
kwaba,NEGATIVE
kirari,POSITIVE
bura uban,NEGATIVE
tsohone,NEGATIVE
ladabi,POSITIVE
kwarjini,POSITIVE
rabawa,POSITIVE
fadamana,POSITIVE
mai yawa,POSITIVE
insha allah️,POSITIVE
yashiga uku,NEGATIVE
kaunar,POSITIVE
durkushewar,NEGATIVE
farin ciki,POSITIVE
kya wawan,POSITIVE
goyawa baya,POSITIVE
hkuri,POSITIVE
juyin milki,NEGATIVE
mahaukata,NEGATIVE
suna ruwa,NEGATIVE
iyakantar,POSITIVE
jaraba,NEGATIVE
,NEGATIVE
majidadin,POSITIVE
daqiqae,NEGATIVE
dakyau,POSITIVE
bayanka,POSITIVE
harbemu,NEGATIVE
shiryeki,POSITIVE
dada,POSITIVE
ji a jikin,NEGATIVE
burgesu,POSITIVE
yakora,NEGATIVE
saukarsa,NEGATIVE
mtswww,NEGATIVE
gaisheka,POSITIVE
aure️‍️‍,POSITIVE
zageni‍️,NEGATIVE
bukatu,POSITIVE
tsinanawa,NEGATIVE
dakatar,NEGATIVE
alkaeri,POSITIVE
anfana,POSITIVE
qarfi,POSITIVE
rabo,POSITIVE
azzalumai,NEGATIVE
masoyiyarki,POSITIVE
gyaruwa,POSITIVE
saci,NEGATIVE
tsawon kwana,POSITIVE
zanga zanga,NEGATIVE
lamunce,POSITIVE
masoyinki,POSITIVE
alqawari,POSITIVE
kisamu,POSITIVE
kishinsa,POSITIVE
agaskiya,POSITIVE
lpy,POSITIVE
muna furci,NEGATIVE
rupa,POSITIVE
dadi,POSITIVE
bukatan,POSITIVE
ciniki,POSITIVE
jindadi,POSITIVE
juri,POSITIVE
cucin,NEGATIVE
rana,POSITIVE
barayi,NEGATIVE
kataimaka,POSITIVE
murmushinki,POSITIVE
tsinanniyar,NEGATIVE
ya jikanta,POSITIVE
lada,POSITIVE
gaji,NEGATIVE
haske,POSITIVE
kasheni,NEGATIVE
gagareshi,NEGATIVE
karbabbe,POSITIVE
kusha,POSITIVE
akashesu,NEGATIVE
cigaba,POSITIVE
ingantaccen,POSITIVE
bindigar,NEGATIVE
kunyata,NEGATIVE
rikon amana,POSITIVE
hamdala,POSITIVE
anbude,POSITIVE
biyayya,POSITIVE
shegeya,NEGATIVE
kawo,POSITIVE
kinasona,POSITIVE
ruɓe,NEGATIVE
ciyar,POSITIVE
awanye,POSITIVE
munafuka,NEGATIVE
wawuya,NEGATIVE
lallasamu,NEGATIVE
yinmu,POSITIVE
al farman,POSITIVE
amincin,POSITIVE
banzane,NEGATIVE
kwartan,NEGATIVE
uwarka,NEGATIVE
gudumuwar,POSITIVE
gidadawa,NEGATIVE
zalunce,NEGATIVE
yuwuwa,POSITIVE
uwarsa,NEGATIVE
tsareku,POSITIVE
bamaso,NEGATIVE
yin ki,POSITIVE
tabarakallah,POSITIVE
jan kunne,NEGATIVE
tsoronka,NEGATIVE
fatan alkairi,POSITIVE
allah ya isan,NEGATIVE
makara,NEGATIVE
raya,POSITIVE
ajalinsu,NEGATIVE
zangazangar,NEGATIVE
sakawa,POSITIVE
iskancine,NEGATIVE
goge,NEGATIVE
farincikin,POSITIVE
yawwa,POSITIVE
yan iskane,NEGATIVE
aljannar,POSITIVE
goyon baya,POSITIVE
jahilla,NEGATIVE
kwarai,POSITIVE
sunbamu,POSITIVE
ibadah,POSITIVE
ganawa,POSITIVE
husuma,NEGATIVE
mtswwww,NEGATIVE
inasonki,POSITIVE
musha biki,POSITIVE
rabona,POSITIVE
baci,NEGATIVE
zaije,POSITIVE
alhamdulillahi,POSITIVE
taimakawa,POSITIVE
mtseeew,NEGATIVE
zunuban,NEGATIVE
munafikin,NEGATIVE
murna,POSITIVE
bakauya,NEGATIVE
hura,POSITIVE
shashasha,NEGATIVE
mudace,POSITIVE
soke,NEGATIVE
kadubemu,POSITIVE
shiga uku,NEGATIVE
shiryar,POSITIVE
laifukan,NEGATIVE
nisha dantar,POSITIVE
zamukai,POSITIVE
borin kunya,NEGATIVE
mugaye,NEGATIVE
burus,NEGATIVE
kyau,POSITIVE
zaifito,POSITIVE
wawan,NEGATIVE
kauyensa,NEGATIVE
𝐤𝐢𝐲𝐚𝐲𝐞,POSITIVE
fadakar,POSITIVE
sonka,POSITIVE
asararre,NEGATIVE
saurin,POSITIVE
bola,NEGATIVE
durin uwa,NEGATIVE
ciresa,NEGATIVE
sakacin,NEGATIVE
dachewansa,POSITIVE
son kai,NEGATIVE
gafara,POSITIVE
tsiya,NEGATIVE
wadatar,POSITIVE
kutumar uba,NEGATIVE
yataimaki,POSITIVE
kabarsu,NEGATIVE
kulleki,NEGATIVE
kataimaki,POSITIVE
bude,POSITIVE
yadaukaki,POSITIVE
kokkofi,NEGATIVE
dambe,NEGATIVE
ankashe,NEGATIVE
qaranci,NEGATIVE
alhamdullilahi,POSITIVE
quntata,NEGATIVE
qartin,NEGATIVE
kori,NEGATIVE
aikin banza,NEGATIVE
jihilai,NEGATIVE
mtwsss,NEGATIVE
abarshi,NEGATIVE
iyawa,POSITIVE
yabaiyanashi,POSITIVE
illa,NEGATIVE
kwabar‍️,NEGATIVE
raga,POSITIVE
zartar,POSITIVE
dokokin,POSITIVE
jikkata,NEGATIVE
rahamsheshi,POSITIVE
munatare,POSITIVE
cinyeku,NEGATIVE
saada,POSITIVE
munafikai,NEGATIVE
ramawa,NEGATIVE
gwara,POSITIVE
raguwa,NEGATIVE
jazakallah,POSITIVE
harbe,NEGATIVE
munafike,NEGATIVE
farar aniya,POSITIVE
tsinannu,NEGATIVE
anbawa,POSITIVE
jagora,POSITIVE
mari,NEGATIVE
kallo,POSITIVE
shashancin,NEGATIVE
wargajewa,NEGATIVE
fitinar,NEGATIVE
daɗi,POSITIVE
haduba,NEGATIVE
asarar,NEGATIVE
kusace,NEGATIVE
a dawa,NEGATIVE
danasanin,NEGATIVE
yarainamu,NEGATIVE
sauki,POSITIVE
annoba,NEGATIVE
rangwame,POSITIVE
yatsinewa,NEGATIVE
gwani,POSITIVE
baqin cikina,NEGATIVE
karuwai,NEGATIVE
tashin hankalin,NEGATIVE
akaso,POSITIVE
ihun,NEGATIVE
yafadi,NEGATIVE
nishadi,POSITIVE
damuwata,NEGATIVE
dadinsu,POSITIVE
alkairii,POSITIVE
adali,POSITIVE
kinfi,POSITIVE
goyo baya,POSITIVE
gindin uwarshi,NEGATIVE
sawwaqe,POSITIVE
shawara,POSITIVE
sannu,POSITIVE
yalalace,NEGATIVE
cii,POSITIVE
masoyin,POSITIVE
barnannan,NEGATIVE
tallafawa,POSITIVE
dorashii,POSITIVE
shahara,POSITIVE
tashe,POSITIVE
iska,NEGATIVE
masifan,NEGATIVE
kagama,POSITIVE
ci zalinsu,NEGATIVE
dan wuta,NEGATIVE
antaya,POSITIVE
haihuwa,POSITIVE
kukeso,POSITIVE
kashewa,NEGATIVE
daukakaki,POSITIVE
tabdijam,NEGATIVE
qaryan,NEGATIVE
lahiya,POSITIVE
sami,POSITIVE
yasaya,POSITIVE
mugune,NEGATIVE
tsaremu,POSITIVE
yardan,POSITIVE
madedeciya,POSITIVE
taimakeki,POSITIVE
yakikaye,POSITIVE
banzaye,NEGATIVE
tsaurara,NEGATIVE
sabuwar,POSITIVE
rabaku,NEGATIVE
damfarace,NEGATIVE
angirmi,POSITIVE
more,POSITIVE
inshallah,POSITIVE
gaba,POSITIVE
dora,POSITIVE
jefe,NEGATIVE
sannun,POSITIVE
ƙarya,NEGATIVE
nishandatar,POSITIVE
ganaar,POSITIVE
lumi lumi,POSITIVE
balain,NEGATIVE
wuntsula,NEGATIVE
háinci,NEGATIVE
nakallla,POSITIVE
hauka,NEGATIVE
haskka,POSITIVE
matsin,NEGATIVE
tasa,POSITIVE
ba daɗi,NEGATIVE
ki fi,POSITIVE
hnkli,POSITIVE
inshaallah,POSITIVE
gasken,POSITIVE
ci gaban,POSITIVE
bulbul,POSITIVE
taemakeki,POSITIVE
farin jini,POSITIVE
kharain,POSITIVE
sakarcin,NEGATIVE
kangararre,NEGATIVE
koyama,POSITIVE
harbewa,NEGATIVE
zafin,NEGATIVE
yakawomana,POSITIVE
muhuta,POSITIVE
alkayri,POSITIVE
musifah,NEGATIVE
hankaline,POSITIVE
maadallah,POSITIVE
hakkin,POSITIVE
birgeta,POSITIVE
tafisu,POSITIVE
iliminki,POSITIVE
kusanci,POSITIVE
aurena,POSITIVE
waje,NEGATIVE
tattalla,NEGATIVE
kokarima,POSITIVE
kashiga,POSITIVE
hakuri,POSITIVE
tsareka,POSITIVE
munyafe,POSITIVE
muhimmaci,POSITIVE
munafirci,NEGATIVE
lpia,POSITIVE
nunawar,POSITIVE
muguwar,NEGATIVE
bikin,POSITIVE
yimusu,POSITIVE
maqaryacin,NEGATIVE
rainawa,NEGATIVE
nagode,POSITIVE
yasakawa,POSITIVE
azallumai,NEGATIVE
sakarci,NEGATIVE
taurin kai,NEGATIVE
uwatta,NEGATIVE
kinkoma,POSITIVE
rokonka,POSITIVE
kaqi,NEGATIVE
dubi,POSITIVE
madallah,POSITIVE
sheki,POSITIVE
yatsani,NEGATIVE
cututtukan,NEGATIVE
karama,POSITIVE
gogarman,POSITIVE
ma sha allah,POSITIVE
masha allahu,POSITIVE
watsa,NEGATIVE
rahmar,POSITIVE
albarkacin,POSITIVE
jankwarzo,POSITIVE
yasanta,POSITIVE
warke,POSITIVE
sa a,POSITIVE
munana,NEGATIVE
jinya,NEGATIVE
in sha aallah,POSITIVE
marowata,NEGATIVE
rabin raina,POSITIVE
kinsamu,POSITIVE
baaso,NEGATIVE
arziqi,POSITIVE
fargabarmu,NEGATIVE
mugode,POSITIVE
maigirma,POSITIVE
adace,POSITIVE
gskya,POSITIVE
bayajin,NEGATIVE
kwarin gwiwa,POSITIVE
mashaa allah,POSITIVE
kwarewa,POSITIVE
maqaryaci,NEGATIVE
rainin wayon,NEGATIVE
ataimaka,POSITIVE
jagaliya,NEGATIVE
shiryi,POSITIVE
alfarmar,POSITIVE
shegiyaa,NEGATIVE
saɓa,NEGATIVE
araina,NEGATIVE
albarkar,POSITIVE
famada,NEGATIVE
dan asara,NEGATIVE
mai tar,NEGATIVE
hanaku,NEGATIVE
gazawar,NEGATIVE
cuwa cuwa,NEGATIVE
nishadantar,POSITIVE
busan,NEGATIVE
maganinta,POSITIVE
kafi,POSITIVE
babakere,NEGATIVE
qatuwa,NEGATIVE
kaunarka,POSITIVE
sakayawa,POSITIVE
cigaban,POSITIVE
gagararsa,NEGATIVE
qarfafa,POSITIVE
turowa,POSITIVE
zaman makoki,NEGATIVE
kauna,POSITIVE
kyautata,POSITIVE
fiyayyen,POSITIVE
munyii,POSITIVE
tsiyarki,NEGATIVE
tamuce,POSITIVE
yaxo,POSITIVE
iyawarka,POSITIVE
rabe,NEGATIVE
wawaye,NEGATIVE
hofi,NEGATIVE
yataya,POSITIVE
ja zamanin,POSITIVE
kinbi,POSITIVE
ta gari,POSITIVE
wahalan,NEGATIVE
jarabce,NEGATIVE
anaso,POSITIVE
kayaye,POSITIVE
qaryar,NEGATIVE
murmushi,POSITIVE
gskiya,POSITIVE
baraayi,NEGATIVE
mutuncinki,POSITIVE
yaudara,NEGATIVE
barawan,NEGATIVE
sawaka,POSITIVE
garan bawul,NEGATIVE
garkuwar,POSITIVE
babban,POSITIVE
kawar,POSITIVE
kinason,POSITIVE
inayinka,POSITIVE
brk,POSITIVE
laifinshi,NEGATIVE
cin uban,NEGATIVE
mugunta,NEGATIVE
miyagun,NEGATIVE
tsiyar,NEGATIVE
tobon hankali,NEGATIVE
azurtamu,POSITIVE
tabaji,NEGATIVE
yaisa,POSITIVE
gudunmawa,POSITIVE
kugama,POSITIVE
qara,POSITIVE
barasa,NEGATIVE
tallafi,POSITIVE
tsine,NEGATIVE
yataimako,POSITIVE
kidore,POSITIVE
tsirara,NEGATIVE
nadamar,NEGATIVE
arna,NEGATIVE
ganganci,NEGATIVE
kurakurai,NEGATIVE
kurakurenki,NEGATIVE
ibadu,POSITIVE
kutumar ubar,NEGATIVE
mahassada,NEGATIVE
masifu,NEGATIVE
kishiya,NEGATIVE
sukafi,POSITIVE
fadawa,NEGATIVE
taba,NEGATIVE
kulawa,POSITIVE
iyawaa,POSITIVE
tayar,POSITIVE
darajiar,POSITIVE
qazantace,NEGATIVE
mufikarfin,POSITIVE
alfaharina,POSITIVE
yakaresu,POSITIVE
bura uba,NEGATIVE
kisa,NEGATIVE
yanci,POSITIVE
dameku,NEGATIVE
jikanshi,POSITIVE
samo,POSITIVE
koma bayan,NEGATIVE
ɓarauniyar,NEGATIVE
ci baya,NEGATIVE
mahaukatan,NEGATIVE
zabar,POSITIVE
sawa,POSITIVE
kyeu,POSITIVE
kirkiri,POSITIVE
uwar me,NEGATIVE
shaawar,POSITIVE
lugudensu,NEGATIVE
tafito,POSITIVE
hambarar,NEGATIVE
juriya,POSITIVE
daukakaku,POSITIVE
tariga,POSITIVE
imaninsu,POSITIVE
laanannen,NEGATIVE
dubasa,POSITIVE
jajirtattun,POSITIVE
kyakykyawan,POSITIVE
abinyi,POSITIVE
karyarshi,NEGATIVE
zuria,POSITIVE
bariki,NEGATIVE
yaudaremu,NEGATIVE
albarkaci,POSITIVE
shagalinku,POSITIVE
murde,NEGATIVE
arzikinsu,POSITIVE
rawa,POSITIVE
yabiya,POSITIVE
kwadayi,NEGATIVE
naso,POSITIVE
tabarbarewar,NEGATIVE
wofii,NEGATIVE
gafartawa,POSITIVE
chutar,NEGATIVE
yataimaka,POSITIVE
cikawa,POSITIVE
yar iskace,NEGATIVE
albarkah,POSITIVE
gskia,POSITIVE
birgewa,POSITIVE
zataci,POSITIVE
gwanina,POSITIVE
goyan bayanka,POSITIVE
nutsuwa,POSITIVE
koro,NEGATIVE
janye,NEGATIVE
bin doka,POSITIVE
kyau tatawa,POSITIVE
kunki,NEGATIVE
mtwssss,NEGATIVE
hakali,POSITIVE
tsuliyar dodo,NEGATIVE
ladan,POSITIVE
huta,POSITIVE
fahimtarka,POSITIVE
makiyi,NEGATIVE
karanta,POSITIVE
mahaukaci,NEGATIVE
anrufe,NEGATIVE
sunki,NEGATIVE
walaha,NEGATIVE
jaxakallah,POSITIVE
yabamu,POSITIVE
sadaka,POSITIVE
yajiqansu,POSITIVE
burgeki,POSITIVE
kihuta,POSITIVE
uzzurawa,NEGATIVE
yayewa,POSITIVE
daniska,NEGATIVE
amarya,POSITIVE
yaturomin,POSITIVE
dan bindiga,NEGATIVE
inganta,POSITIVE
nasarar,POSITIVE
tsinemaku,NEGATIVE
ƙaryar,NEGATIVE
hidima,POSITIVE
uwar babanku,NEGATIVE
dana sanin,NEGATIVE
hege,NEGATIVE
ilimi,POSITIVE
hankali,POSITIVE
tsurku,NEGATIVE
anshiga uku,NEGATIVE
gagari,NEGATIVE
masoyi,POSITIVE
gurfanar,NEGATIVE
martaba,POSITIVE
anfika,POSITIVE
lalache,NEGATIVE
cutan,NEGATIVE
sanqame,NEGATIVE
kasaci,NEGATIVE
lusari,NEGATIVE
taimaka,POSITIVE
ashuka,POSITIVE
mitswww,NEGATIVE
cin hanchi,NEGATIVE
fitintinu,NEGATIVE
sani,POSITIVE
hanaka,NEGATIVE
mugani,POSITIVE
santa,POSITIVE
yakoma,NEGATIVE
zagii,NEGATIVE
rashawa,NEGATIVE
karban,POSITIVE
kurakuraisa,NEGATIVE
gaskiyane,POSITIVE
kyautar,POSITIVE
barauniya,NEGATIVE
dason,POSITIVE
daureshi,NEGATIVE
kubutar,POSITIVE
cecekuce,NEGATIVE
acigaba,POSITIVE
dabamasa,NEGATIVE
almutsutsai,NEGATIVE
gudanarda,POSITIVE
shaqe ki,NEGATIVE
karyan banza,NEGATIVE
amfanar,POSITIVE
arziki,POSITIVE
hadiye,NEGATIVE
kasheshi,NEGATIVE
shan wiwi,NEGATIVE
yaqara,POSITIVE
hadin gwiwar,POSITIVE
shagalin,POSITIVE
dadin gaske,POSITIVE
najasa,NEGATIVE
mutunta,POSITIVE
matsoraci,NEGATIVE
biyyayya,POSITIVE
maganinku,POSITIVE
yatsari,POSITIVE
sunzo,POSITIVE
anobar,NEGATIVE
sheke,NEGATIVE
mutuwace,NEGATIVE
alfarman,POSITIVE
wadan,NEGATIVE
mutuwa,NEGATIVE
daria,POSITIVE
matsoracin,NEGATIVE
kiyayya,NEGATIVE
cika,POSITIVE
cetosu,POSITIVE
mayun,NEGATIVE
jairar,NEGATIVE
tsige,NEGATIVE
kyawu,POSITIVE
kulaki,POSITIVE
lallace,NEGATIVE
soyayar,POSITIVE
gafartamasa,POSITIVE
sabbin,POSITIVE
bulalar,NEGATIVE
taaddanchin,NEGATIVE
bakason,NEGATIVE
munafurcin,NEGATIVE
adduoin,POSITIVE
yaci gaba,POSITIVE
qanqantar,NEGATIVE
kwalliya,POSITIVE
jin jina,POSITIVE
lfya,POSITIVE
yasaki,POSITIVE
matsa,NEGATIVE
sawwake,POSITIVE
rada,NEGATIVE
kwantowa,NEGATIVE
mungaji,NEGATIVE
halatta,POSITIVE
lamari,NEGATIVE
alhmdlhh,POSITIVE
kindamemu,NEGATIVE
tsauri,NEGATIVE
rahamshesu,POSITIVE
rabamu,POSITIVE
tsohuwar,NEGATIVE
darajan,POSITIVE
shirin,POSITIVE
kwanciyar hankali,POSITIVE
wawane,NEGATIVE
gyara,POSITIVE
akoshi,POSITIVE
karata,NEGATIVE
katobara,NEGATIVE
tausayawa,POSITIVE
shiryamu,POSITIVE
karu,POSITIVE
basira,POSITIVE
kama,NEGATIVE
mundawo,POSITIVE
fara,POSITIVE
kahada,POSITIVE
takaita,POSITIVE
aci,POSITIVE
isar,POSITIVE
gashi,NEGATIVE
maula,NEGATIVE
bulalai,NEGATIVE
zalunci,NEGATIVE
kamunda,NEGATIVE
ayyuka,POSITIVE
cinhanci,NEGATIVE
daukaka,POSITIVE
yakeson,POSITIVE
datse,NEGATIVE
auranta,POSITIVE
gallazawa,NEGATIVE
addabar,NEGATIVE
yadatar,POSITIVE
sumbata,POSITIVE
ngd,POSITIVE
ajalinsa,NEGATIVE
yanayin,POSITIVE
barazana,NEGATIVE
uwar gulma,NEGATIVE
yaƙara,POSITIVE
yaudarar,NEGATIVE
magungunan,POSITIVE
nunama,POSITIVE
rabauta,POSITIVE
lfy,POSITIVE
kacutar,NEGATIVE
yabaka,POSITIVE
maganinsu,POSITIVE
sonsu,POSITIVE
kashemu,NEGATIVE
wariyar,NEGATIVE
nisan tamu,POSITIVE
asacemu,NEGATIVE
karramawa,POSITIVE
auri,POSITIVE
addua,POSITIVE
shegu,NEGATIVE
fasaharka,POSITIVE
isheku,NEGATIVE
talautasu,NEGATIVE
wuya,NEGATIVE
insha allah,POSITIVE
matsalarmu,NEGATIVE
tozarce,NEGATIVE
qazanta,NEGATIVE
mashaya,NEGATIVE
insayamaki,POSITIVE
karfinka,POSITIVE
daukih,POSITIVE
gigita,NEGATIVE
kaunarki,POSITIVE
tashigo,POSITIVE
kareku,POSITIVE
sherrin,NEGATIVE
farin chiki,POSITIVE
ranka yadade,POSITIVE
maitatsine,NEGATIVE
munshiga uku,NEGATIVE
fatammu,POSITIVE
alqawarin,POSITIVE
kunsan,POSITIVE
limami,POSITIVE
nafarko,POSITIVE
cuceni,NEGATIVE
takaicine,NEGATIVE
rahamah,POSITIVE
washewa,POSITIVE
aduaa,POSITIVE
zaɓan,POSITIVE
duwawun,NEGATIVE
qunci,NEGATIVE
mtschew,NEGATIVE
yan taadda,NEGATIVE
kyakkyawar,POSITIVE
takabar,NEGATIVE
yan uwanki,POSITIVE
gimbiya,POSITIVE
nagartar,POSITIVE
yafisu,POSITIVE
kutse,NEGATIVE
baqauya,NEGATIVE
tsegumi,NEGATIVE
akashe,NEGATIVE
katsaremu,POSITIVE
kwayaa,NEGATIVE
baida,NEGATIVE
dayafi,POSITIVE
watsarwa,NEGATIVE
jikansa,POSITIVE
yunwarmu,NEGATIVE
matsalarda,NEGATIVE
ci gaba,POSITIVE
damemu,NEGATIVE
baxamu,NEGATIVE
al farmar,POSITIVE
lashe️,POSITIVE
uban waye,NEGATIVE
tabbatar,POSITIVE
muguntar,NEGATIVE
gatanka,POSITIVE
annoban,NEGATIVE
munapikan,NEGATIVE
bani,POSITIVE
